# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.005    1.779781    1.779914  1278.417    1.900675
  0.010    1.816011    1.816078  1257.167    2.130656
  0.015    1.849684    1.849728  1251.542    2.235086
  0.020    1.869058    1.869089  1251.840    2.290454
  0.025    1.889952    1.889975  1253.241    2.332190
  0.030    1.904572    1.904591  1254.041    2.360595
  0.035    1.914489    1.914504  1254.251    2.381114
  0.040    1.922722    1.922736  1254.212    2.398900
  0.045    1.930942    1.930953  1254.112    2.416850
  0.050    1.939987    1.939997  1254.064    2.436152
