年份,化合物,类型,空间群,压力(GPa),Tc(K),theoryorexp,doi
1970,Th4H15,clathrate,I43d,1.0132E-4,8.35,exp,https://doi.org/10.1103/PhysRevLett.25.741
1972,PdH,null,null,1.0132E-4,11,exp,https://doi.org/10.1007/BF01398191
1977,NbH0.69,null,null,1.0132E-4,9.4,exp,https://doi.org/10.1007/BF01325532
2008,SiH4?,null,null,96,17,exp,null
2012,CaH6,clathrate,Im3m,150,235,theory,https://doi.org/10.1073/pnas.1118168109
2015,H2S,covalent,null,130,55,exp,null
2015,H3S,covalent,Im3m,150,203,exp,https://doi.org/10.1038/nature14964.
2015,MgH6,clathrate,Im3m,300,263,theory,https://doi.org/10.1039/C5RA11459D
2015,YH6,clathrate,Im3m,120,264,theory,https://doi.org/10.1038/srep09948
2015,H3P?,covalent,null,200,100,exp,null
2017,YH10,clathrate,Fm3m,250,326,theory,https://doi.org/10.1073/pnas.1704505114
2017,SrH10,layer,Cmca,300,259,theory,https://doi.org/10.1103/PhysRevB.96.100502
2017,YH10,clathrate,Fm3m,400,303,theory,https://doi.org/10.1103/PhysRevLett.119.107001
2018,AcH10,clathrate,R3m,200,251,theory,https://doi.org/10.1021/acs.jpclett.8b00615
2018,ThH10,clathrate,Fm3m,100,241,theory,https://doi.org/10.1021/acsami.8b17100
2018,AcH16,clathrate,P6m2,150,241,theory,https://doi.org/10.1021/acs.jpclett.8b00615
2019,LaH10,clathrate,Fm3m,170,250,exp,https://doi.org/10.1038/s4158601912018
2019,ThH9,clathrate,P63/mmc,175,146,exp,https://doi.org/10.1016/j.mattod.2019.10.005
2019,ThH10,clathrate,Fm3m,170,161,exp,https://doi.org/10.1016/j.mattod.2019.10.005
2019,Hf4H15,layer,null,23,4.5,exp,null
2019,PtH,null,null,30,7,exp,null
2022,CaH6,clathrate,Im3m,172,215,exp,https://doi.org/10.1103/PhysRevLett.128.167001
2020,NdH9,null,null,1.0132E-4,5,exp,null
2020,PrH9,null,null,1.0132E-4,9,exp,null
2020,HfH10,layer,P63/mmc,250,234,theory,https://doi.org/10.1088/0256307X/38/10/107401
2020,ZrH3,null,null,40,6.4,exp,null
2021,CeH10,null,null,95,115,exp,null
2021,CeH9,null,null,88,57,exp,null
2021,SnHx,null,null,200,70,exp,null
2021,YH6,clathrate,Im3m,183,220,exp,https://doi.org/10.1038/s41467-021-25372-2
2021,BaH12,null,null,140,20,exp,null
2021,ScH3,null,null,131,18.5,exp,null
2021,YH9,clathrate,P63/mmc,201,243,exp,https://doi.org/10.1038/s41467-021-25372-2
2021,LuH3,null,null,122,12.4,exp,null
2022,YH6,clathrate,Im3m,165,218,exp,https://iopscience.iop.org/article/10.1088/16741056/ac872e
2001,MgB2,layer,null,1.0132E-4,39,exp,null
2022,CeH18,clathrate,null,350,330,theory,https://pubs.acs.org/doi/10.1021/jacs.2c05834?goto=supporting-info
