natom=10          
T          -TS (eV/atom)
0            0.00000000
100         -0.00119462
200         -0.00238923
300         -0.00358385
400         -0.00477846
500         -0.00597308
600         -0.00716770
700         -0.00836231
800         -0.00955693
900         -0.01075154
1000        -0.01194616
1100        -0.01314078
1200        -0.01433539
1300        -0.01553001
1400        -0.01672462
1500        -0.01791924
1600        -0.01911385
1700        -0.02030847
1800        -0.02150309
1900        -0.02269770
2000        -0.02389232
2100        -0.02508693
2200        -0.02628155
2300        -0.02747617
2400        -0.02867078
2500        -0.02986540
2600        -0.03106001
2700        -0.03225463
2800        -0.03344925
2900        -0.03464386
3000        -0.03583848
