# 
#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f             devi_e            min_dis
           0       1.982693e+01       9.297190e-05       1.129879e+01       1.470792e-05       1.470792e-05       1.470792e-05       7.406199e+00       2.594403e+00
           1       1.412584e+01       5.325514e-02       7.890788e+00       2.419392e-02       2.419392e-02       2.419392e-02       6.342289e+00       2.729377e+00
           2       2.871441e+01       3.802920e-07       1.148557e+01       6.901886e-02       6.901886e-02       6.901886e-02       6.309373e+00       1.696337e+00
           3       2.010286e+01       9.778000e-02       1.121849e+01       2.257970e-01       2.257970e-01       2.257970e-01       7.262341e+00       2.238510e+00
           4       1.958788e+01       1.874277e-01       1.128362e+01       3.246639e-02       3.246639e-02       3.246639e-02       7.403334e+00       2.561109e+00
           5       1.979767e+01       3.937286e-04       1.093928e+01       1.338845e-04       1.338845e-04       1.338845e-04       7.295424e+00       2.423520e+00
           6       1.862884e+01       5.905914e-01       1.075442e+01       1.954976e-05       1.954976e-05       1.954976e-05       7.300284e+00       2.476887e+00
           7       3.271117e+01       3.824983e-01       1.851325e+01       2.338184e-02       2.338184e-02       2.338184e-02       8.003574e+00       2.476256e+00
           8       1.629677e+01       2.444906e-07       9.139122e+00       1.937543e-03       1.937543e-03       1.937543e-03       6.937162e+00       2.285931e+00
           9       1.979941e+01       2.775448e-03       1.129649e+01       4.221177e-03       4.221177e-03       4.221177e-03       7.405756e+00       2.568419e+00
          10       1.979165e+01       9.102314e-03       1.129718e+01       3.969750e-03       3.969750e-03       3.969750e-03       7.405927e+00       2.568877e+00
          11       1.967884e+01       1.640310e-01       1.131113e+01       9.145726e-02       9.145726e-02       9.145726e-02       7.409138e+00       2.567934e+00
          12       2.153168e+01       5.102433e-04       1.183166e+01       6.563171e-04       6.563171e-04       6.563171e-04       6.654414e+00       2.619029e+00
          13       1.661110e+01       5.054722e-01       9.599271e+00       2.159504e-05       2.159504e-05       2.159504e-05       6.597353e+00       2.601222e+00
          14       1.982488e+01       2.570526e-03       1.129644e+01       1.793294e-04       1.793294e-04       1.793294e-04       7.405804e+00       2.593316e+00
          15       1.703836e+01       2.867042e-07       8.231726e+00       7.927856e-01       7.927856e-01       7.927856e-01       6.471070e+00       1.875142e+00
          16       1.977655e+01       3.042313e-02       1.126738e+01       1.752515e-02       1.752515e-02       1.752515e-02       7.401081e+00       2.593828e+00
          17       1.979454e+01       1.370092e-02       1.129692e+01       8.185566e-03       8.185566e-03       8.185566e-03       7.405913e+00       2.568155e+00
          18       2.093185e+01       1.037762e-02       1.148068e+01       1.198070e-03       1.198070e-03       1.198070e-03       7.435653e+00       2.537741e+00
          19       1.576397e+01       6.047730e-07       7.914260e+00       4.868029e-01       4.868029e-01       4.868029e-01       6.769899e+00       2.023128e+00
          20       1.576397e+01       6.047730e-07       7.914260e+00       4.868029e-01       4.868029e-01       4.868029e-01       6.769899e+00       2.023128e+00
          21       2.130815e+01       2.051252e-01       1.131889e+01       1.953695e+00       1.953695e+00       1.953695e+00       6.473243e+00       2.376685e+00
          22       1.647207e+01       2.074775e-01       9.286922e+00       3.512218e-03       3.512218e-03       3.512218e-03       6.937200e+00       2.413404e+00
          23       1.985578e+01       3.991551e-04       1.130259e+01       2.619202e-05       2.619202e-05       2.619202e-05       7.407470e+00       2.593334e+00
          24       3.458456e+00       2.529870e-07       1.996808e+00       1.439940e-03       1.439940e-03       1.439940e-03       6.229561e+00       2.781209e+00
          25       1.996191e+01       4.879722e-07       1.063900e+01       3.012722e-07       3.012722e-07       3.012722e-07       6.598756e+00       2.718600e+00
          26       1.961730e+01       2.402813e-02       1.130678e+01       2.711502e-04       2.711502e-04       2.711502e-04       7.401562e+00       2.550433e+00
          27       1.975663e+01       8.187883e-04       1.129644e+01       2.940473e-04       2.940473e-04       2.940473e-04       7.405889e+00       2.569364e+00
          28       1.960634e+01       1.790373e-01       1.129595e+01       3.820681e-03       3.820681e-03       3.820681e-03       7.405782e+00       2.569385e+00
          29       1.993131e+01       4.592252e-04       1.108501e+01       7.469068e-04       7.469068e-04       7.469068e-04       7.380556e+00       2.564439e+00
          30       1.622516e+01       4.036801e-02       9.313185e+00       2.496259e-05       2.496259e-05       2.496259e-05       6.933277e+00       2.263160e+00
          31       1.993638e+01       4.743463e-04       1.111903e+01       4.583530e-04       4.583530e-04       4.583530e-04       7.380508e+00       2.583917e+00
          32       1.661110e+01       5.054722e-01       9.599271e+00       2.159504e-05       2.159504e-05       2.159504e-05       6.597353e+00       2.601222e+00
          33       1.983113e+01       6.076815e-03       1.129955e+01       1.431676e-02       1.431676e-02       1.431676e-02       7.406286e+00       2.593893e+00
          34       2.827652e+01       1.206171e-01       9.671864e+00       4.960165e-04       4.960165e-04       4.960165e-04       6.255594e+00       1.991800e+00
          35       1.951672e+01       5.383896e-02       1.126554e+01       8.475506e-02       8.475506e-02       8.475506e-02       6.505449e+00       2.648538e+00
          36       1.952960e+01       3.845574e-04       1.108236e+01       5.575476e-04       5.575476e-04       5.575476e-04       7.353754e+00       2.501444e+00
          37       3.458456e+00       2.529870e-07       1.996808e+00       1.439940e-03       1.439940e-03       1.439940e-03       6.229561e+00       2.781209e+00
          38       1.794929e+01       4.534820e-03       9.884624e+00       1.665447e-02       1.665447e-02       1.665447e-02       7.083960e+00       2.574673e+00
          39       1.961520e+01       1.080918e-02       1.116231e+01       2.715523e-04       2.715523e-04       2.715523e-04       7.371149e+00       2.517453e+00
          40       5.274844e-01       3.331647e-02       2.462466e-01       2.536330e+00       3.306070e-15       3.486413e-01       3.553701e-01       1.279771e+00
          41       8.808419e-01       4.499640e-02       4.130462e-01       1.832889e+00       8.195936e-06       7.307244e-01       2.752953e-01       6.467731e-01
          42       5.338214e-01       3.192589e-02       2.463669e-01       2.462559e+00       1.105922e-15       3.428219e-01       3.774125e-01       1.293119e+00
          43       9.720417e-01       4.417947e-02       4.531246e-01       1.955932e+00       7.562275e-06       7.069736e-01       2.796105e-01       6.559484e-01
          44       9.747547e-01       4.283352e-02       4.547989e-01       1.920881e+00       1.021045e-05       7.141120e-01       2.766223e-01       6.531633e-01
          45       5.184453e+00       4.646826e-03       2.863995e+00       4.700137e+00       2.274987e-01       1.838433e+00       6.278862e-01       1.143565e+00
          46       5.185999e+00       4.771439e-03       2.863894e+00       4.797368e+00       2.371498e-01       1.835638e+00       6.290233e-01       1.144586e+00
          47       1.173168e+00       3.154316e-08       6.773290e-01       1.845487e+00       4.539317e-08       1.036853e+00       1.614001e-01       8.106943e-01
